failed_traditional_credit,external_repayment_loans,credit_card_interest_incidence,default_flag,bnpl_usage_frequency,financial_stress_score,credit_limit_utilisation,payment_delinquency_count,impulsive_buying_score,financial_literacy_assessment,debt_accumulation_metric,return_dispute_incidents,demographic_risk_factor,bnpl_debt_ratio,stress_usage_interaction,adjusted_debt_interaction
1,1,0,0,-0.7302577564935954,-1.2460888001346755,-1.7467341947147608,-1.5000968737847915,-0.5283112185399405,1.4906955252075649,0.7345929832723368,-0.484418918001618,-0.0446570369419838,1.6917059636811222,0.9099660115781444,-2.1080158544640843
0,0,0,0,1.319109193441658,0.5294723285838702,-0.2229654600934616,-1.5000968737847915,-0.5283112185399405,1.1543472568845583,-0.3119632722449537,-0.484418918001618,0.6531091652765132,1.6040945678863134,0.6984318163079455,0.8493236861275034
0,0,0,0,0.4082794379148786,1.2396967800712884,0.8055784357759153,1.4621797332151916,0.1604908916816247,-0.527394084730474,-1.7578633621043682,1.2675482357112866,1.35087536749501,-0.7263685602556009,0.5061427045523905,-0.9004767652938861
0,0,1,0,-1.6410875120203747,1.5948090058149975,-0.1848712417279291,-0.9076415523847948,-0.872712273650723,0.4816507202385454,-1.1175361794523415,1.2675482357112866,-1.4401894413789778,-1.3571706099782244,-2.6172211435006214,-2.164427911220706
0,1,1,0,0.4082794379148786,0.5294723285838702,-1.5562631028870986,-0.9076415523847948,-0.872712273650723,-0.527394084730474,-0.6011432902168365,0.3915646588548342,0.6531091652765132,-1.760183030634345,0.2161726647057044,-0.9319682079637802
0,0,1,0,-0.2748428787302058,-0.180752122903548,0.462730470486123,0.2772690904151984,-0.5283112185399405,0.1453024519155389,0.2526262866525322,1.2675482357112866,-0.7424232391604808,0.3950573059179519,0.0496784337954071,-0.0714074467132262
0,0,1,1,1.5468166323233528,1.5948090058149975,0.1579767235618631,0.869724411815195,0.1604908916816247,-1.5364388896994936,-0.4152418500920546,1.2675482357112866,-0.0446570369419838,1.130993030594346,2.4668770955737087,1.80371787070586
0,0,0,0,0.6359868767965734,0.8845845543275793,-0.8324729539419814,0.869724411815195,-1.2171133287615057,0.1453024519155389,-1.3240933351465436,-0.484418918001618,-1.4401894413789778,-0.1656556271688244,0.562584167969286,-0.1465364091309902
1,0,1,0,-0.7302577564935954,0.174360102840161,-1.213415137597306,1.4621797332151916,1.5380951121247552,-0.1910458164074675,0.0254134153889098,-0.484418918001618,-0.7424232391604808,1.4113494971377345,-0.1273278175220485,0.2460830434643449
1,0,0,0,1.5468166323233528,-1.2460888001346755,-0.8324729539419814,0.869724411815195,1.5380951121247552,-0.527394084730474,0.238855809606252,1.2675482357112866,-0.0446570369419838,-0.7964576768914479,-1.9274708814001664,0.9924569909557154
0,1,0,0,-0.9579651953752902,1.5948090058149975,0.0055998500997332,-0.3151862309847982,-0.1839101634291578,0.4816507202385454,-0.6493399598788169,-1.3604024948580704,0.6531091652765132,-0.2007001854867479,-1.5277715208418363,-0.3200784632830061
0,0,1,0,-0.0471354398485109,-0.180752122903548,-1.4800746661560336,1.4621797332151916,-0.872712273650723,-0.8637423530534806,-0.8352414000035988,1.2675482357112866,-1.4401894413789778,0.9032034015278432,0.0085198308166108,-0.1632559322398633
