failed_traditional_credit,bnpl_usage_frequency,over_indebtedness_flag,financial_stress_score,external_repayment_loans,credit_card_interest_incidence,credit_limit_utilisation,payment_delinquency_count,impulsive_buying_score,financial_literacy_assessment,debt_accumulation_metric,return_dispute_incidents,demographic_risk_factor,bnpl_debt_ratio,default_flag
0,1.5468166323233525,1,0.8845845543275794,0,0,-0.2991538968245266,-0.3151862309847982,1.1936940570139727,0.8179989885615518,-0.6562251984019568,0.39156465885483405,-0.044657036941983815,-1.7251384723164214,0
1,0.8636943156782683,1,1.5948090058149975,1,0,-1.6324515396181634,1.4621797332151916,0.16049089168162473,-1.5364388896994936,-0.24999612553669265,1.2675482357112864,-0.7424232391604809,-1.2345146558654918,1
1,1.319109193441658,1,-0.5358643486472571,0,0,-0.642001862114319,1.4621797332151916,-0.8727122736507231,0.14530245191553884,1.106395863521901,1.2675482357112864,0.6531091652765133,-0.30583386044051863,0
0,-0.04713543984851081,0,-1.2460888001346755,0,0,-0.642001862114319,0.869724411815195,0.16049089168162473,-1.200090621376487,1.4368873126326245,1.2675482357112864,1.3508753674950102,-1.532393401567842,0
0,-1.1856726342569845,0,-1.2460888001346755,1,0,-0.9467556090385788,-0.3151862309847982,1.5380951121247555,-1.200090621376487,0.3972162956384739,-0.48441891800161807,-1.440189441378978,0.009567164420793155,0
0,-0.04713543984851081,0,-1.6012010258783844,0,0,1.0722379643346427,-0.3151862309847982,0.16049089168162473,0.4816507202385453,-0.4083566115689144,-0.48441891800161807,0.6531091652765133,-0.18317790632778622,0
0,1.5468166323233525,1,-0.5358643486472571,0,0,0.7293899990448504,1.4621797332151916,-0.18391016342915792,1.4906955252075649,-0.8903233081887193,-0.48441891800161807,-0.044657036941983815,0.9032034015278431,0
1,-0.730257756493595,0,1.5948090058149975,0,1,-1.3276977926939035,0.2772690904151984,-1.217113328761506,-1.5364388896994936,1.6159035142342661,1.2675482357112864,-0.7424232391604809,0.5352355391896461,0
0,-1.641087512020374,0,1.2396967800712884,1,1,-0.413436551921124,-0.3151862309847982,1.5380951121247555,0.14530245191553884,1.622788752757406,1.2675482357112864,-0.044657036941983815,-0.21822246464570977,0
1,-0.2748428787302056,0,0.5294723285838703,0,1,-1.0991324825007087,0.869724411815195,1.5380951121247555,0.4816507202385453,1.4162315970632042,-1.3604024948580702,0.6531091652765133,-0.9892027476400274,0
